path,kind,exists,size_bytes,file_count,classification,cleanup_recommendation,reason,regeneration_command,referenced_by
rt_out/experiments/perception_rt_small_v0,directory,true,209976276,433,keep_main,keep,Experiment root that contains the current perception pilot artifacts.,,rt_out/experiments/perception_rt_small_v0/dataset_index/panoptic_dataset_index.csv; rt_out/experiments/perception_rt_small_v0/dataset_index/panoptic_dataset_index.json; rt_out/experiments/perception_rt_small_v0/dataset_index/panoptic_dataset_index_summary.json; rt_out/scripts/perception/60_select_perception_frames.py; rt_out/scripts/perception/61_build_perception_instance_registry.py; rt_out/scripts/perception/62_build_labeled_gazebo_world.py; rt_out/scripts/perception/63_capture_panoptic_topics.py; rt_out/scripts/perception/64_validate_panoptic_capture.py; rt_out/scripts/perception/65_build_panoptic_dataset_index.py; rt_out/scripts/perception/70_capture_synchronized_stable_instance_rgb_pcl_topics.py; rt_out/scripts/perception/71_validate_synchronized_stable_instance_rgb_pcl_capture.py; rt_out/scripts/perception/72_build_labeled_colorized_pointclouds.py; rt_out/scripts/perception/73_validate_labeled_colorized_pointclouds.py; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/91_run_gazebo_capture_helper.py; rt_out/scripts/perception/92_preview_panoptic_capture.py; rt_out/scripts/perception/93_extract_camera_rig_from_gazebo_pose.py; rt_out/scripts/perception/README.md
rt_out/experiments/perception_rt_small_v0/configs,directory,true,5610,5,keep_required_input,keep,"Active source configuration, camera rig, and semantic label definitions used by the pilot.",,rt_out/experiments/perception_rt_small_v0/dataset_index/panoptic_dataset_index.csv; rt_out/experiments/perception_rt_small_v0/dataset_index/panoptic_dataset_index.json; rt_out/scripts/perception/60_select_perception_frames.py; rt_out/scripts/perception/61_build_perception_instance_registry.py; rt_out/scripts/perception/62_build_labeled_gazebo_world.py; rt_out/scripts/perception/63_capture_panoptic_topics.py; rt_out/scripts/perception/64_validate_panoptic_capture.py; rt_out/scripts/perception/65_build_panoptic_dataset_index.py; rt_out/scripts/perception/70_capture_synchronized_stable_instance_rgb_pcl_topics.py; rt_out/scripts/perception/71_validate_synchronized_stable_instance_rgb_pcl_capture.py; rt_out/scripts/perception/72_build_labeled_colorized_pointclouds.py; rt_out/scripts/perception/73_validate_labeled_colorized_pointclouds.py; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/91_run_gazebo_capture_helper.py; rt_out/scripts/perception/92_preview_panoptic_capture.py; rt_out/scripts/perception/93_extract_camera_rig_from_gazebo_pose.py
rt_out/experiments/perception_rt_small_v0/configs/camera_rig.json,file,true,2030,,keep_required_input,keep,"Active source configuration, camera rig, and semantic label definitions used by the pilot.",,rt_out/scripts/perception/62_build_labeled_gazebo_world.py; rt_out/scripts/perception/63_capture_panoptic_topics.py; rt_out/scripts/perception/65_build_panoptic_dataset_index.py; rt_out/scripts/perception/70_capture_synchronized_stable_instance_rgb_pcl_topics.py; rt_out/scripts/perception/71_validate_synchronized_stable_instance_rgb_pcl_capture.py; rt_out/scripts/perception/93_extract_camera_rig_from_gazebo_pose.py
rt_out/experiments/perception_rt_small_v0/configs/camera_rig_8cam_seeded.json,file,true,2030,,keep_required_input,keep,"Active source configuration, camera rig, and semantic label definitions used by the pilot.",,
rt_out/experiments/perception_rt_small_v0/configs/camera_rig_before_8cam_expansion.json,file,true,697,,keep_required_input,keep,"Active source configuration, camera rig, and semantic label definitions used by the pilot.",,
rt_out/experiments/perception_rt_small_v0/configs/perception_dataset_config.json,file,true,682,,keep_required_input,keep,"Active source configuration, camera rig, and semantic label definitions used by the pilot.",,rt_out/scripts/perception/60_select_perception_frames.py; rt_out/scripts/perception/61_build_perception_instance_registry.py; rt_out/scripts/perception/62_build_labeled_gazebo_world.py; rt_out/scripts/perception/63_capture_panoptic_topics.py; rt_out/scripts/perception/64_validate_panoptic_capture.py; rt_out/scripts/perception/65_build_panoptic_dataset_index.py; rt_out/scripts/perception/70_capture_synchronized_stable_instance_rgb_pcl_topics.py; rt_out/scripts/perception/71_validate_synchronized_stable_instance_rgb_pcl_capture.py; rt_out/scripts/perception/72_build_labeled_colorized_pointclouds.py; rt_out/scripts/perception/73_validate_labeled_colorized_pointclouds.py; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/91_run_gazebo_capture_helper.py; rt_out/scripts/perception/92_preview_panoptic_capture.py; rt_out/scripts/perception/93_extract_camera_rig_from_gazebo_pose.py
rt_out/experiments/perception_rt_small_v0/configs/semantic_label_map.json,file,true,171,,keep_required_input,keep,"Active source configuration, camera rig, and semantic label definitions used by the pilot.",,rt_out/experiments/perception_rt_small_v0/dataset_index/panoptic_dataset_index.csv; rt_out/experiments/perception_rt_small_v0/dataset_index/panoptic_dataset_index.json; rt_out/scripts/perception/61_build_perception_instance_registry.py; rt_out/scripts/perception/62_build_labeled_gazebo_world.py; rt_out/scripts/perception/64_validate_panoptic_capture.py; rt_out/scripts/perception/65_build_panoptic_dataset_index.py
rt_out/experiments/perception_rt_small_v0/dataset_index,directory,true,2473270,3,keep_main,keep,"Central linkage outputs that tie panoptic samples, RT rows, wireless labels, and final labeled point clouds together.",python3 rt_out/scripts/perception/65_build_panoptic_dataset_index.py --config rt_out/experiments/perception_rt_small_v0/configs/perception_dataset_config.json --force --pretty-json,rt_out/scripts/perception/README.md
rt_out/experiments/perception_rt_small_v0/dataset_index/panoptic_dataset_index.csv,file,true,976074,,keep_main,keep,"Central linkage outputs that tie panoptic samples, RT rows, wireless labels, and final labeled point clouds together.",python3 rt_out/scripts/perception/65_build_panoptic_dataset_index.py --config rt_out/experiments/perception_rt_small_v0/configs/perception_dataset_config.json --force --pretty-json,rt_out/scripts/perception/65_build_panoptic_dataset_index.py; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py
rt_out/experiments/perception_rt_small_v0/dataset_index/panoptic_dataset_index.json,file,true,1493863,,keep_main,keep,"Central linkage outputs that tie panoptic samples, RT rows, wireless labels, and final labeled point clouds together.",python3 rt_out/scripts/perception/65_build_panoptic_dataset_index.py --config rt_out/experiments/perception_rt_small_v0/configs/perception_dataset_config.json --force --pretty-json,rt_out/scripts/perception/65_build_panoptic_dataset_index.py; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py
